ID,Intelligence,Blood Status,Loyalty,Gender,What are you curious about?,Affinity to Dark Arts,Magic Transportation Model,Height,Preferred Goblet Potion,"If you were a principal, how would you choose your students?",Species,Preferred Element,Kindness,House
1049,31.0,Pure Blood,42.0,M,World after we die,42.31,Portkey,164.76,Silvery Potion,"By a difficult exam",Werewolves,,32.91,Gryffindor
1050,29.0,Muggle Born,39.0,F,Plants,35.53,,221.94,Silvery Potion,"By a psychological test",Werewolves,,64.84,Ravenclaw
1051,30.0,Muggle Born,41.0,F,Evil,55.1,Portkey,184.56,Potion that smells of plums and chocolates,"By a psychological test",Werewolves,,33.22,Ravenclaw
1052,27.0,Pure Blood,38.0,M,World after we die,64.28,Floo Network,160.92,,"I choose without preferences",Werewolves,,75.36,Gryffindor
1053,29.0,Muggle Born,40.0,F,World after we die,40.95,Floo Network,133.68,Silvery Potion,"I choose students with high scores",Werewolves,,83.96,Slytherine
1054,33.0,Muggle Born,40.0,F,World after we die,34.66,Apparition,117.24,Silvery Potion,"By a difficult exam",Centaurs,,30.74,Slytherine
1055,32.0,Pure Blood,42.0,M,World after we die,38.61,Floo Network,181.48,Potion that smells of plums and chocolates,"By a difficult exam",Giants,,66.77,Slytherine
1056,30.0,Pure Blood,38.0,F,World after we die,46.7,Apparition,136.92,Silvery Potion,"By a psychological test",Werewolves,,33.55,Ravenclaw
1057,31.0,Pure Blood,40.0,F,Magical Creatures,62.07,Apparition,90.34,Silvery Potion,"By a difficult exam",Werewolves,,38.04,Gryffindor
1058,30.0,Muggle Born,37.0,M,Magical Creatures,50.15,Flying,153.52,The Golden Potion,"I choose students with high scores",Centaurs,,57.41,Hufflepuff
1059,34.0,Muggle Born,40.0,M,Magical Creatures,56.06,Apparition,119.12,Potion that smells of plums and chocolates,"I choose students with high scores",Centaurs,,46.66,Gryffindor
1060,30.0,Muggle Born,40.0,M,World after we die,53.67,Portkey,190.84,Potion that makes you see strange visions,"By a psychological test",Humans,,34.88,Gryffindor
1061,25.0,Muggle Born,36.0,M,Magical Creatures,61.79,Apparition,113.72,Silvery Potion,"I choose students with high scores",Werewolves,,32.86,Hufflepuff
1062,33.0,Pure Blood,37.0,M,Magical Creatures,45.02,Portkey,249.56,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,42.32,Gryffindor
1063,26.0,Muggle Born,41.0,M,Magical Creatures,50.02,Apparition,185.46,Potion that smells of plums and chocolates,"By a psychological test",Centaurs,,53.84,Hufflepuff
1064,28.0,Pure Blood,39.0,M,Plants,55.15,Apparition,96.67,Potion that smells of plums and chocolates,"I choose students with high scores",Humans,,68.1,Ravenclaw
1065,33.0,Pure Blood,37.0,M,World after we die,42.53,Apparition,124.96,Potion that makes you see strange visions,"By a difficult exam",Giants,,33.49,Ravenclaw
1066,32.0,Muggle Born,38.0,M,World after we die,37.53,Portkey,156.46,The Golden Potion,"I choose students with high scores",Humans,,51.29,Slytherine
1067,28.0,Pure Blood,39.0,M,Magical Creatures,64.16,Apparition,215.23,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,50.18,Hufflepuff
1068,26.0,Pure Blood,39.0,M,Magical Creatures,44.93,Floo Network,119.26,The Golden Potion,"By a difficult exam",Werewolves,,60.63,Ravenclaw
1069,35.0,Pure Blood,40.0,M,Magical Creatures,46.56,Apparition,129.49,Silvery Potion,"By a difficult exam",Giants,,42.72,Slytherine
1070,31.0,Pure Blood,36.0,M,Plants,61.99,Portkey,100.63,The Golden Potion,"By a psychological test",Centaurs,,41.53,Gryffindor
1071,30.0,Pure Blood,38.0,M,Magical Creatures,56.76,Portkey,73.41,The Golden Potion,"By a difficult exam",Centaurs,,51.06,Hufflepuff
1072,31.0,Pure Blood,42.0,M,Magical Creatures,46.07,Portkey,137.85,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,51.87,Gryffindor
1073,33.0,Pure Blood,40.0,M,Magical Creatures,53.33,Flying,105.34,Potion that makes you see strange visions,"I choose students with high scores",Werewolves,,93.02,Hufflepuff
1074,28.0,Pure Blood,42.0,M,World after we die,61.07,Portkey,163.58,Silvery Potion,"By a difficult exam",Centaurs,,64.74,Gryffindor
1075,32.0,Muggle Born,42.0,M,Magical Creatures,46.23,Portkey,163.97,Silvery Potion,"I choose without preferences",Giants,,26.85,Slytherine
1076,31.0,Pure Blood,40.0,M,Magical Creatures,31.72,Apparition,153.34,Potion that makes you see strange visions,"I choose students with high scores",Centaurs,,69.31,Hufflepuff
1077,31.0,Pure Blood,39.0,M,Magical Creatures,52.45,Apparition,149.7,The Golden Potion,"By a difficult exam",Centaurs,,58.69,Gryffindor
1078,32.0,Pure Blood,41.0,M,Plants,64.51,Apparition,267.15,Silvery Potion,"By a psychological test",Humans,,10.51,Slytherine
1079,33.0,Muggle Born,36.0,M,World after we die,61.33,Apparition,220.47,Silvery Potion,"By a difficult exam",Werewolves,,47.63,Slytherine
1080,28.0,Muggle Born,40.0,F,Plants,49.24,Apparition,202.53,The Golden Potion,"I choose students with high scores",Giants,,51.82,Hufflepuff
1081,34.0,Muggle Born,35.0,M,Magical Creatures,53.09,Floo Network,165.12,Potion that makes you see strange visions,"By a difficult exam",Werewolves,,53.49,Gryffindor
1082,28.0,Pure Blood,41.0,M,Evil,51.82,Portkey,193.2,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,19.32,Slytherine
1083,36.0,Pure Blood,40.0,F,Plants,57.2,Portkey,118.15,The Golden Potion,"I choose without preferences",Centaurs,,43.64,Hufflepuff
1084,31.0,Pure Blood,38.0,F,Plants,51.22,Floo Network,171.27,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,62.48,Hufflepuff
1085,31.0,Muggle Born,40.0,M,World after we die,41.51,Apparition,79.08,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,61.53,Hufflepuff
1086,27.0,Pure Blood,40.0,F,Plants,47.89,Apparition,178.63,Potion that smells of plums and chocolates,"By a psychological test",Werewolves,Fire,32.41,Slytherine
1087,30.0,Muggle Born,41.0,M,Plants,49.14,Floo Network,99.08,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,47.82,Gryffindor
1088,27.0,Muggle Born,37.0,M,Plants,50.15,Portkey,116.46,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,56.95,Slytherine
1089,26.0,Pure Blood,42.0,M,Magical Creatures,37.33,Apparition,123.62,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,86.73,Slytherine
1090,33.0,Pure Blood,39.0,M,Magical Creatures,56.3,Flying,148.6,Potion that smells of plums and chocolates,"By a psychological test",Giants,,51.48,Ravenclaw
1091,35.0,Pure Blood,40.0,F,Magical Creatures,56.46,Floo Network,184.61,The Golden Potion,"By a difficult exam",Werewolves,,85.07,Hufflepuff
1092,28.0,Muggle Born,39.0,M,World after we die,46.03,Apparition,180.73,The Golden Potion,"By a psychological test",Giants,,33.93,Gryffindor
1093,33.0,Pure Blood,38.0,F,World after we die,61.41,Portkey,99.38,Silvery Potion,"I choose without preferences",Werewolves,,39.08,Hufflepuff
1094,29.0,Muggle Born,38.0,M,Magical Creatures,46.46,Apparition,124.54,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,47.68,Ravenclaw
1095,25.0,Pure Blood,37.0,F,Plants,48.84,Floo Network,191.73,Potion that smells of plums and chocolates,"By a psychological test",Giants,,50.58,Slytherine
1096,34.0,Muggle Born,39.0,F,Plants,45.54,Portkey,189.38,Silvery Potion,"By a difficult exam",Werewolves,,53.3,Gryffindor
1097,31.0,Muggle Born,42.0,M,Plants,62.58,Apparition,130.87,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,37.52,Gryffindor
1098,28.0,Pure Blood,42.0,M,Plants,53.04,Apparition,194.73,Silvery Potion,"By a psychological test",Humans,,89.77,Hufflepuff
1099,31.0,Muggle Born,40.0,M,Magical Creatures,54.71,Portkey,165.3,Silvery Potion,"I choose without preferences",Werewolves,,21.36,Gryffindor
1100,26.0,Pure Blood,35.0,F,Magical Creatures,43.07,Portkey,140.88,Silvery Potion,"By a difficult exam",Humans,,34.67,Gryffindor
1101,27.0,Muggle Born,38.0,F,World after we die,38.88,Apparition,206.91,The Golden Potion,"By a psychological test",Centaurs,,47.69,Gryffindor
1102,32.0,Muggle Born,38.0,M,World after we die,35.64,Floo Network,215.56,The Golden Potion,"By a difficult exam",Centaurs,,72.76,Ravenclaw
1103,31.0,Pure Blood,37.0,F,World after we die,54.18,Apparition,151.62,Silvery Potion,"I choose without preferences",Werewolves,,50.77,Hufflepuff
1104,23.0,Muggle Born,37.0,F,World after we die,58.56,Apparition,149.44,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,85.26,Gryffindor
1105,32.0,Pure Blood,38.0,F,Magical Creatures,50.55,Apparition,131.83,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,55.54,Gryffindor
1106,29.0,Muggle Born,38.0,F,Magical Creatures,39.42,Portkey,169.4,Silvery Potion,"By a difficult exam",Giants,,64.76,Gryffindor
1107,27.0,Pure Blood,39.0,F,Magical Creatures,49.18,Floo Network,141.8,The Golden Potion,"I choose without preferences",Giants,,19.23,Gryffindor
1108,30.0,Pure Blood,38.0,M,Magical Creatures,43.91,Portkey,189.25,Silvery Potion,"By a psychological test",Werewolves,,66.14,Gryffindor
1109,28.0,Pure Blood,38.0,F,Plants,32.42,Portkey,118.28,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,67.76,Slytherine
1110,28.0,Muggle Born,38.0,M,Evil,58.67,Portkey,224.29,Silvery Potion,"I choose without preferences",Humans,,48.38,Gryffindor
1111,29.0,Pure Blood,43.0,F,Magical Creatures,41.7,Portkey,128.7,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,20.02,Slytherine
1112,33.0,Muggle Born,41.0,M,Plants,52.67,Portkey,104.55,The Golden Potion,"I choose without preferences",Centaurs,,54.57,Slytherine
1113,28.0,Pure Blood,39.0,M,World after we die,47.69,,195.74,The Golden Potion,"By a psychological test",Giants,,1.41,Slytherine
1114,29.0,Pure Blood,40.0,M,Plants,42.74,Portkey,168.89,Silvery Potion,"By a difficult exam",Werewolves,,75.17,Ravenclaw
1115,32.0,Pure Blood,40.0,F,World after we die,46.42,Portkey,182.3,Potion that makes you see strange visions,"I choose without preferences",Werewolves,,78.31,Slytherine
1116,26.0,Muggle Born,39.0,M,Plants,49.22,Portkey,173.82,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,28.13,Slytherine
1117,28.0,Pure Blood,41.0,F,Plants,48.8,Apparition,52.52,Silvery Potion,"By a difficult exam",Centaurs,,33.41,Ravenclaw
1118,28.0,Muggle Born,38.0,M,World after we die,47.14,Portkey,158.05,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,57.31,Slytherine
1119,37.0,Muggle Born,38.0,F,Magical Creatures,53.17,Flying,111.17,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,28.65,Slytherine
1120,28.0,Pure Blood,39.0,F,Plants,66.15,Floo Network,140.03,The Golden Potion,"By a difficult exam",Werewolves,,39.7,Slytherine
1121,27.0,Muggle Born,38.0,F,Plants,52.32,Portkey,173.91,Potion that makes you see strange visions,"By a psychological test",Giants,,64.11,Hufflepuff
1122,29.0,Muggle Born,41.0,M,World after we die,39.55,Portkey,154.71,Potion that smells of plums and chocolates,"I choose students with high scores",Humans,,68.21,Ravenclaw
1123,27.0,Pure Blood,40.0,F,Evil,39.52,Floo Network,222.95,Potion that makes you see strange visions,"By a difficult exam",Centaurs,,41.94,Ravenclaw
1124,26.0,Pure Blood,40.0,F,Plants,52.43,Portkey,141.57,Potion that smells of plums and chocolates,"By a psychological test",Werewolves,,10.52,Gryffindor
1125,29.0,Muggle Born,42.0,F,Plants,74.88,Flying,146.64,Silvery Potion,"By a psychological test",Werewolves,,43.83,Slytherine
1126,30.0,Pure Blood,39.0,F,World after we die,36.45,Apparition,121.62,The Golden Potion,"By a psychological test",Centaurs,,42.67,Slytherine
1127,29.0,Muggle Born,42.0,M,Magical Creatures,26.65,Floo Network,147.1,Silvery Potion,"I choose students with high scores",Centaurs,,62.64,Ravenclaw
1128,26.0,Muggle Born,40.0,F,Evil,52.22,Floo Network,178.64,,"By a difficult exam",Humans,,30.93,Hufflepuff
1129,28.0,Pure Blood,41.0,F,World after we die,21.46,Apparition,118.71,Silvery Potion,"By a difficult exam",Centaurs,,52.75,Slytherine
1130,28.0,Pure Blood,38.0,M,Evil,45.87,Flying,117.43,Silvery Potion,"By a difficult exam",Werewolves,,39.13,Gryffindor
1131,29.0,Muggle Born,39.0,F,Magical Creatures,38.16,Apparition,149.66,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,42.96,Ravenclaw
1132,24.0,Muggle Born,41.0,F,Plants,39.44,Portkey,217.28,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,4.75,Ravenclaw
1133,25.0,Pure Blood,37.0,M,Magical Creatures,49.68,Portkey,243.71,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,33.49,Ravenclaw
1134,31.0,Pure Blood,41.0,M,Magical Creatures,47.93,Floo Network,198.9,Silvery Potion,"By a difficult exam",Centaurs,,55.6,Ravenclaw
1135,30.0,Muggle Born,36.0,F,Magical Creatures,61.43,Floo Network,204.44,Potion that smells of plums and chocolates,,Centaurs,,56.07,Hufflepuff
1136,35.0,Muggle Born,40.0,M,Magical Creatures,38.88,Floo Network,214.39,Potion that smells of plums and chocolates,"I choose without preferences",Humans,,41.78,Gryffindor
1137,26.0,Muggle Born,39.0,M,Magical Creatures,58.6,Apparition,279.31,Silvery Potion,"I choose students with high scores",Centaurs,,36.43,Hufflepuff
1138,31.0,Muggle Born,38.0,F,Plants,51.24,Portkey,221.73,Silvery Potion,"By a difficult exam",Centaurs,,52.34,Ravenclaw
1139,32.0,Pure Blood,40.0,F,Evil,38.76,Portkey,128.76,Silvery Potion,"I choose students with high scores",Centaurs,,48.58,Hufflepuff
1140,29.0,Muggle Born,38.0,F,Magical Creatures,62.05,Apparition,214.88,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,37.44,Hufflepuff
1141,31.0,Pure Blood,41.0,M,Magical Creatures,41.65,Apparition,146.48,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,64.92,Gryffindor
1142,26.0,Muggle Born,42.0,M,Magical Creatures,50.08,Flying,105.89,Potion that smells of plums and chocolates,"By a psychological test",Giants,,38.92,Hufflepuff
1143,26.0,Muggle Born,37.0,M,World after we die,56.91,Portkey,135.39,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,63.28,Gryffindor
1144,28.0,Pure Blood,40.0,M,Magical Creatures,48.3,Flying,129.46,Potion that smells of plums and chocolates,"By a difficult exam",Humans,,25.38,Ravenclaw
1145,34.0,Pure Blood,40.0,M,Magical Creatures,51.23,Apparition,114.12,Silvery Potion,"I choose without preferences",Centaurs,,89.87,Gryffindor
1146,30.0,Muggle Born,40.0,F,World after we die,55.39,Portkey,187.26,The Golden Potion,"By a difficult exam",,,95.86,Slytherine
1147,28.0,Pure Blood,39.0,F,Plants,36.11,Apparition,145.78,The Golden Potion,"By a difficult exam",Werewolves,,61.63,Gryffindor
1148,30.0,Pure Blood,35.0,F,World after we die,44.21,Floo Network,161.59,Silvery Potion,"By a psychological test",Humans,,55.84,Ravenclaw
1149,29.0,Muggle Born,41.0,F,World after we die,40.04,Floo Network,169.61,Silvery Potion,"I choose students with high scores",Centaurs,,54.92,Hufflepuff
1150,28.0,Pure Blood,38.0,M,Magical Creatures,61.88,Apparition,131.74,The Golden Potion,"By a difficult exam",Centaurs,,41.14,Hufflepuff
1151,30.0,Muggle Born,38.0,M,Plants,48.82,Floo Network,136.87,The Golden Potion,"I choose without preferences",Centaurs,,59.1,Slytherine
1152,25.0,Pure Blood,41.0,M,World after we die,66.38,Apparition,213.57,Silvery Potion,"I choose without preferences",Giants,,75.77,Gryffindor
1153,28.0,Pure Blood,39.0,F,Plants,46.39,Apparition,188.28,Silvery Potion,"By a difficult exam",Centaurs,,33.44,Slytherine
1154,32.0,Muggle Born,42.0,M,Magical Creatures,40.9,Portkey,118.21,Potion that makes you see strange visions,"By a difficult exam",Centaurs,,31.02,Hufflepuff
1155,29.0,Muggle Born,40.0,M,Magical Creatures,38.6,Portkey,133.23,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,8.33,Gryffindor
1156,31.0,Muggle Born,37.0,M,World after we die,56.64,Portkey,201.92,Silvery Potion,"By a difficult exam",Centaurs,,54.44,Ravenclaw
1157,28.0,Pure Blood,41.0,M,Plants,48.02,Apparition,174.42,The Golden Potion,"By a difficult exam",Werewolves,,87.67,Gryffindor
1158,32.0,Pure Blood,42.0,M,World after we die,54.58,Floo Network,186.81,The Golden Potion,"I choose students with high scores",Centaurs,,43.59,Hufflepuff
1159,31.0,Muggle Born,37.0,M,Plants,56.46,Apparition,96.85,Silvery Potion,"By a psychological test",Giants,,9.4,Hufflepuff
1160,36.0,Muggle Born,37.0,F,Plants,33.11,Portkey,137.12,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,53.96,Slytherine
1161,30.0,Muggle Born,39.0,F,Evil,58.35,Apparition,168.81,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,48.01,Gryffindor
1162,32.0,Pure Blood,40.0,M,World after we die,51.06,Portkey,189.91,Silvery Potion,"I choose students with high scores",Giants,,55.09,Ravenclaw
1163,30.0,Muggle Born,39.0,M,Magical Creatures,31.06,Apparition,214.01,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,38.25,Hufflepuff
1164,31.0,Pure Blood,43.0,F,Magical Creatures,39.04,Floo Network,198.93,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,16.96,Hufflepuff
1165,31.0,Pure Blood,39.0,M,Plants,35.21,Floo Network,138.16,Silvery Potion,"By a difficult exam",Giants,,36.36,Slytherine
1166,33.0,Pure Blood,41.0,F,Plants,58.64,Portkey,134.94,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,49.22,Ravenclaw
1167,30.0,Pure Blood,41.0,M,Plants,55.29,Portkey,145.6,Silvery Potion,"By a difficult exam",Centaurs,,36.15,Hufflepuff
1168,28.0,Muggle Born,40.0,M,World after we die,62.38,Portkey,187.96,Silvery Potion,"By a psychological test",Giants,,54.88,Gryffindor
1169,31.0,Pure Blood,42.0,M,World after we die,36.44,Apparition,112.31,Potion that smells of plums and chocolates,"By a difficult exam",Giants,,59.68,Slytherine
1170,24.0,Pure Blood,38.0,F,Magical Creatures,48.55,Apparition,235.96,The Golden Potion,"By a psychological test",Centaurs,,43.0,Slytherine
1171,31.0,Pure Blood,38.0,F,Magical Creatures,46.98,Portkey,129.37,Silvery Potion,"I choose without preferences",Humans,,77.37,Hufflepuff
1172,29.0,Muggle Born,38.0,M,Plants,36.89,Floo Network,154.78,The Golden Potion,"By a psychological test",Werewolves,,65.9,Ravenclaw
1173,26.0,Muggle Born,43.0,F,Magical Creatures,51.65,Portkey,137.63,The Golden Potion,"I choose without preferences",Centaurs,,46.28,Slytherine
1174,26.0,Pure Blood,39.0,F,Magical Creatures,42.82,Portkey,174.43,Silvery Potion,"I choose without preferences",Humans,,69.5,Hufflepuff
1175,24.0,Pure Blood,40.0,F,Magical Creatures,51.22,Flying,188.83,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,45.0,Gryffindor
1176,32.0,Muggle Born,37.0,F,Plants,29.47,Portkey,119.37,Silvery Potion,"By a psychological test",Centaurs,,82.56,Ravenclaw
1177,31.0,Pure Blood,39.0,M,World after we die,57.62,Floo Network,65.04,Silvery Potion,,Werewolves,,67.52,Hufflepuff
1178,29.0,Pure Blood,38.0,F,World after we die,52.18,Portkey,245.7,Silvery Potion,"By a difficult exam",Werewolves,,55.23,Ravenclaw
1179,29.0,Pure Blood,39.0,F,Magical Creatures,62.08,Portkey,145.17,Potion that smells of plums and chocolates,"I choose without preferences",Humans,,43.48,Gryffindor
1180,25.0,Muggle Born,42.0,F,Plants,65.7,Portkey,200.63,The Golden Potion,"I choose students with high scores",Werewolves,,41.0,Hufflepuff
1181,29.0,Pure Blood,42.0,M,World after we die,52.83,Floo Network,149.01,The Golden Potion,"By a difficult exam",Centaurs,,54.1,Hufflepuff
1182,28.0,Muggle Born,44.0,M,Evil,49.71,Portkey,183.65,Silvery Potion,"By a difficult exam",Centaurs,,68.98,Ravenclaw
1183,28.0,Pure Blood,38.0,M,World after we die,50.78,Floo Network,170.75,Potion that smells of plums and chocolates,"By a psychological test",Giants,,16.28,Ravenclaw
1184,36.0,Muggle Born,39.0,M,Magical Creatures,42.61,Apparition,154.65,Potion that smells of plums and chocolates,"I choose students with high scores",,,40.83,Ravenclaw
1185,26.0,Muggle Born,38.0,F,World after we die,37.0,Flying,160.07,Silvery Potion,"By a difficult exam",Centaurs,,50.13,Ravenclaw
1186,28.0,Muggle Born,39.0,F,Plants,47.33,Floo Network,108.05,The Golden Potion,"By a difficult exam",Centaurs,,48.9,Ravenclaw
1187,27.0,Pure Blood,42.0,F,Magical Creatures,54.76,Apparition,248.27,Silvery Potion,"I choose students with high scores",Giants,,10.29,Gryffindor
1188,31.0,Muggle Born,38.0,M,Magical Creatures,72.56,Portkey,153.82,Silvery Potion,"By a difficult exam",Werewolves,,33.2,Slytherine
1189,27.0,Pure Blood,38.0,M,World after we die,33.84,Portkey,148.14,Potion that smells of plums and chocolates,"By a psychological test",Giants,,61.04,Ravenclaw
1190,30.0,Muggle Born,36.0,M,Magical Creatures,55.13,Floo Network,83.91,Silvery Potion,"I choose students with high scores",Centaurs,,63.18,Slytherine
1191,30.0,Muggle Born,39.0,F,Evil,47.36,Floo Network,140.62,Potion that smells of plums and chocolates,"By a difficult exam",Humans,,65.68,Hufflepuff
1192,31.0,Muggle Born,36.0,M,Magical Creatures,44.28,Floo Network,153.78,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,10.67,Slytherine
1193,28.0,Pure Blood,42.0,M,World after we die,60.1,Floo Network,162.63,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,65.38,Hufflepuff
1194,30.0,Pure Blood,38.0,F,Magical Creatures,71.58,Portkey,136.05,Silvery Potion,"By a difficult exam",,,52.86,Gryffindor
1195,29.0,Muggle Born,39.0,F,Plants,32.22,Floo Network,223.17,The Golden Potion,"I choose without preferences",Giants,,40.69,Gryffindor
1196,29.0,Pure Blood,40.0,M,World after we die,35.09,Apparition,147.5,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,26.43,Hufflepuff
1197,32.0,Pure Blood,40.0,M,Plants,30.44,Floo Network,90.84,The Golden Potion,"I choose students with high scores",Centaurs,,16.12,Slytherine
1198,27.0,Pure Blood,39.0,M,Plants,47.05,Floo Network,169.35,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,85.58,Gryffindor
1199,28.0,Muggle Born,39.0,F,Magical Creatures,50.26,Portkey,201.97,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,48.56,Ravenclaw
1200,27.0,Pure Blood,42.0,M,Evil,41.78,Floo Network,148.59,The Golden Potion,"I choose students with high scores",Giants,,47.42,Hufflepuff
1201,33.0,Muggle Born,37.0,M,Plants,60.16,Apparition,140.03,,"By a difficult exam",Werewolves,,48.15,Ravenclaw
1202,24.0,Pure Blood,41.0,M,Magical Creatures,56.1,Portkey,134.13,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,74.23,Slytherine
1203,27.0,Pure Blood,38.0,M,World after we die,53.64,Apparition,166.13,Silvery Potion,"By a difficult exam",Centaurs,,29.85,Slytherine
1204,27.0,Pure Blood,41.0,M,Evil,53.48,Portkey,184.64,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,35.57,Ravenclaw
1205,27.0,Muggle Born,38.0,F,World after we die,68.5,Floo Network,76.9,Potion that smells of plums and chocolates,"By a difficult exam",Giants,,60.74,Gryffindor
1206,29.0,Pure Blood,41.0,M,Magical Creatures,38.11,Portkey,98.15,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,29.33,Gryffindor
1207,35.0,Muggle Born,37.0,F,Magical Creatures,46.65,Portkey,132.21,Silvery Potion,"I choose students with high scores",Centaurs,,9.76,Ravenclaw
1208,24.0,Muggle Born,40.0,F,Evil,52.01,Floo Network,84.04,The Golden Potion,"By a psychological test",Werewolves,,24.78,Ravenclaw
1209,35.0,Muggle Born,40.0,M,Magical Creatures,60.43,Flying,203.25,The Golden Potion,"By a difficult exam",Centaurs,,79.6,Ravenclaw
1210,30.0,Muggle Born,37.0,M,Evil,46.46,Floo Network,139.04,Silvery Potion,"By a difficult exam",Centaurs,,43.59,Slytherine
1211,26.0,Muggle Born,40.0,F,Magical Creatures,50.48,Portkey,164.86,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,21.15,Ravenclaw
1212,33.0,Muggle Born,41.0,F,World after we die,37.48,Apparition,125.03,Potion that makes you see strange visions,"I choose without preferences",Giants,,40.41,Slytherine
1213,27.0,Pure Blood,41.0,M,Evil,39.59,Portkey,193.96,The Golden Potion,"By a difficult exam",Werewolves,,49.05,Ravenclaw
1214,32.0,Pure Blood,40.0,F,World after we die,37.51,Floo Network,142.66,The Golden Potion,"By a difficult exam",Giants,,39.2,Ravenclaw
1215,35.0,Pure Blood,36.0,M,World after we die,48.65,Flying,128.56,Potion that smells of plums and chocolates,"By a psychological test",Werewolves,,37.44,Gryffindor
1216,30.0,Pure Blood,39.0,F,Plants,37.74,Apparition,164.05,Silvery Potion,"By a difficult exam",Humans,,67.5,Ravenclaw
1217,31.0,Pure Blood,41.0,M,World after we die,48.01,Floo Network,152.93,Silvery Potion,"By a difficult exam",Humans,,67.13,Hufflepuff
1218,32.0,Pure Blood,39.0,F,World after we die,36.54,Portkey,281.65,The Golden Potion,"By a psychological test",Werewolves,,30.49,Gryffindor
1219,28.0,Pure Blood,41.0,M,World after we die,44.14,Apparition,161.49,The Golden Potion,"By a difficult exam",Humans,,82.65,Slytherine
1220,33.0,Pure Blood,37.0,M,Plants,51.27,Apparition,205.42,The Golden Potion,"I choose without preferences",Werewolves,,24.24,Hufflepuff
1221,30.0,Muggle Born,39.0,M,Plants,57.07,Apparition,173.13,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,58.64,Gryffindor
1222,23.0,Muggle Born,40.0,M,World after we die,36.32,Flying,110.61,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,86.37,Hufflepuff
1223,35.0,Muggle Born,41.0,M,World after we die,40.78,Floo Network,157.24,Silvery Potion,"By a psychological test",Giants,,41.24,Gryffindor
1224,31.0,Muggle Born,36.0,F,Magical Creatures,56.64,Portkey,79.13,The Golden Potion,"I choose students with high scores",Centaurs,,49.08,Slytherine
1225,34.0,Pure Blood,40.0,M,Magical Creatures,43.13,Portkey,154.63,Silvery Potion,"I choose students with high scores",Giants,,45.83,Hufflepuff
1226,28.0,Muggle Born,37.0,M,World after we die,41.43,Apparition,206.16,The Golden Potion,"By a difficult exam",Centaurs,,40.96,Gryffindor
1227,33.0,Muggle Born,39.0,M,Magical Creatures,60.56,Portkey,166.56,Silvery Potion,"I choose students with high scores",Werewolves,,54.93,Slytherine
1228,30.0,Pure Blood,39.0,F,World after we die,52.19,Floo Network,141.64,Silvery Potion,"By a psychological test",Centaurs,,60.45,Hufflepuff
1229,29.0,Muggle Born,40.0,M,Magical Creatures,46.47,Floo Network,224.62,Silvery Potion,"By a difficult exam",Werewolves,,67.49,Gryffindor
1230,30.0,Pure Blood,37.0,F,Plants,55.44,Portkey,136.08,Silvery Potion,"By a psychological test",Centaurs,,49.58,Ravenclaw
